id,sku,name,day_ago_created,short_description,price,list_price,price_usd,all_time_quantity_sold,discount,discount_rate,review_count,rating_average,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name,categories_id,categories_name
71909603,4253400449351,Áo hoodie nam nữ form rộng Unisex một màu in hoạt hình cá tính Hàn Quốc – FORMEN SHOP – FMGV034,1182,Áo hoodie thời trang nam nữ unisex form rộng hoạt hình chất nỉ bông phong cách – FORMEN SHOP - FMGV034Áo hoodie unisex form rộng là 1 sản phẩm chắc chắn không thể thiếu trong tủ đồ của các bạn nữ. Ch...,179000,199000,,925.0,20000,10,352,4.6,,available,,1000,1000,,718933,ARADO FASHION,915,Thời trang nam
71909603,4253400449351,Áo hoodie nam nữ form rộng Unisex một màu in hoạt hình cá tính Hàn Quốc – FORMEN SHOP – FMGV034,1182,Áo hoodie thời trang nam nữ unisex form rộng hoạt hình chất nỉ bông phong cách – FORMEN SHOP - FMGV034Áo hoodie unisex form rộng là 1 sản phẩm chắc chắn không thể thiếu trong tủ đồ của các bạn nữ. Ch...,179000,199000,,925.0,20000,10,352,4.6,,available,,1000,1000,,718933,ARADO FASHION,915,Thời trang nam
146265626,9678937745474,"Áo hoodie nỉ bông unisex Homies liền mũ có túi in hình UNFL, Áo hoodie unisex nam nữ nỉ Unfl Studio video thật tại Shop ,Áo nỉ bông ulzzang unisex nam nữ siêu đẹp, Áo khoác Nỉ Có Mũ Túi Bụng Phong Cách Hàn Quốc",779,"NAM NỮ COUPLE ĐỀU MẶC ĐƯỢC, HÀNG BÁN SHOP STORE DÀY DẶN HÌNH THẬT (ĐỪNG SO SÁNH VỚI HÀNG GIÁ RẺ NHÉ KHÁCH ƠI!!!)* Chất liệu: Thun Nỉ cao cấp mềm mịn, co giản tốt, from chuẩn, không xù, thấm hút mồ hô...",100000,100000,,143.0,0,0,48,5.0,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
75945178,4681980416058,"áo hoodie hoạt hình, áo hoodie cute, áo hoodie hàn quốc, áo hoodie cá tính, áo hoodie nam nữ, áo hoodie nữ, áo hoodie nam, áo hoodie ulzzang, áo hoodie unisex",1104,"*áo hoodie hoạt hình, áo hoodie cute, áo hoodie han quốc, áo hoodie cá tính, áo hoodie nam nữ, áo hoodie nữ, áo hoodie nam, áo hoodie ulzzang, áo hoodie unisex được may bằng chất liệu thun nỉ, mềm m...",100000,100000,,73.0,0,0,36,4.6,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
73096116,3159153267574,Áo Hoodie Nỉ Bông Unisex Streetwear Lục Lăng ( unisex nam nữ đều mặc được),1158,NHỮNG CHIẾC ÁO HOODIE / SWEATER STREETWEAR MỚI NHẤT ĐÃ VỀ HÀNG PHỤC VỤ CẢ NHÀ.Áo hoddie / sweater của Phong Boutique đáp ứng tiêu chí:● Thiết kế mới nhất Streetwear● Chất áo nỉ bông dày dặn● Form ove...,99000,99000,,,0,0,0,0.0,,available,,1000,1000,,111461,OEM,915,Thời trang nam
75601328,9607649353767,"áo hoodie nam nữ, áo hoodie nữ, áo hoodie nam, áo hoodie ulzzang, áo hoodie unisex, Áo Hoodie Nỉ Bông Unisex Streetwear Lục Lăng ( unisex nam nữ đều mặc được)",1109,"*áo hoodie nam nữ, áo hoodie nữ, áo hoodie nam, áo hoodie ulzzang, áo hoodie unisex, Áo Hoodie Nỉ Bông Unisex Streetwear Lục Lăng ( unisex nam nữ đều mặc được) được may bằng chất liệu thun nỉ, mềm m...",100000,100000,,83.0,0,0,17,4.6,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
73101749,8703998028392,Áo Hoodie Nỉ Bông Trơn Đủ Màu ( unisex nam nữ đều mặc được),1159,NHỮNG CHIẾC ÁO HOODIE / SWEATER STREETWEAR MỚI NHẤT ĐÃ VỀ HÀNG PHỤC VỤ CẢ NHÀ.Áo hoddie / sweater của Phong Boutique đáp ứng tiêu chí:Thiết kế mới nhất StreetwearChất áo nỉ bông dày dặnForm over...,96000,96000,,86.0,0,0,31,4.2,,available,,1000,1000,,111461,OEM,915,Thời trang nam
122762684,8581888786159,"Áo Hoodie nam - Chất liệu nỉ da cá mềm mịn , kiểu dáng trẻ trung, năng động, mặc là đẹp",861,"       Mô tả sản phẩm:   * Chất liệu nỉ da cá dày dặn, mềm mịn, co giãn 4 chiều nên mặc cực kỳ thoải mái dễ chị   * From trẻ trung, dễ mặc với các loại áo quần, giữ ấm tốt   * Phù hợp đi làm, đ...",97000,97000,,29.0,0,0,9,4.2,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
81938009,7815252438950,Áo hoodie nam / áo hooodie nữ / áo hoodie form rộng / áo khoác nam có nón trùm đầu / áo hoodie cặp đôi / áo khoác cặp đôi in con hạc,1044," Áo hoodie nam / áo hooodie nữ / áo hoodie form rộng / áo khoác nam có nón trùm đầu / áo hoodie cặp đôi / áo khoác cặp đôi in con hạc : chất liệu nỉ ngoại mềm mịn , vải ko nhăn ko nhão  ,gúp cơ thể k...",59000,59000,,48.0,0,0,19,4.1,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
176301618,1174278490361,Áo khoác nỉ bông cotton dày mịn - hoodie form rộng unisex mosevjue - 2N Unisex,641,  **THÔNG TIN SẢN PHẨM**   Tên sản phẩm: áo khoác hoodie form rộng unisex.   Kiểu dáng: hoodie form rộng.   Kích thước: nam nữ đều mặc được.    Chiều dài áo: 74cm    Ngang ngực: 62cm    Tay áo ...,209000,275000,,18.0,66000,24,2,5.0,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
73161713,5703281570303,áo hoodie nam nữ,1158,"áo hoodie nam nữ được may bằng chất liệu thun nỉ, mềm mịn thoáng mát co giãn và thấm hút mồ cực kì hiệu quả. Với đường may tỉ mỉ, tinh tế, màu sắc trang nhã cho người mặc phong cách thời thượng, sành ...",100000,100000,,55.0,0,0,17,3.9,,available,,1000,1000,,4048625,NIU24,2,Root
141309645,6140146941582,"Áo hoodie nam nữ form rộng siêu xinh , Áo khoác nam nữ nỉ có mũ phong cách ..",795,"       THÔNG TIN SẢN PHẨM;   Thiết kế thời trang, đơn giản không kém phần hiện đại   Chất liệu vải nỉ cao cấp: nỉ mềm mịn, co giản thoái mái, mang lại sử trẻ trung   Kiểu dáng gọn nhẹ, năng độn...",110000,110000,,23.0,0,0,6,4.5,,available,,1000,1000,,111461,OEM,2,Root
72524903,2959870458450,"Aó hoodie nam , áo hoodie nữ , áo khoác áo hoodie cặp đôi nam nữ mặc",1172," HIEN LINH SHOP HÂN HẠNH PHỤC VỤ QUÝ KHÁCH NHỮNG SẢN PHẨM CHẤT LƯỢNG VÀ DỊCH VỤ TÔT NHẤTlà shop chuyên sỉ & lẻ áo khoác nỉ, áo khoác kaki , áo khoác dù , quần Jogger , balo túi xá phù hợp với pho...",103000,103000,,94.0,0,0,35,4.0,,available,,1000,1000,,111461,OEM,915,Thời trang nam
49762452,5940852919585,Áo Hoodie Nam Nữ | Nỉ Cotton Đen Trơn Dáng Xuông | Chất Đẹp Cao Cấp  ,1418,"Áo Hoodie Nam Nữ | Nỉ Cotton Đen Trơn Dáng Xuông | Chất Đẹp Cao Cấp Áo chất nỉ bông dầy ấm, 1 lớp nỉ.Áo sáng màu, hình in thấm màu, bảo hành giặt máy thoải mái. Áo đen in lưới chất lượng cao.Kiểu d...",99000,99000,,69.0,0,0,22,4.2,,available,,1000,1000,,111461,OEM,914,Thời Trang
89266198,7919854382344,ÁO KHOÁC NỈ HOODIE GẤU NAM NỮ UNISEX - GIN STORE,1021,"        Size M: Dưới 60kg - 1m65    Size L: Dưới 70kg - 1m7    Size XL: Dưới 85kg - 1m8   Chất Vải Dày Dặn, Đường May Chắc Chắn    Thích Hợp Khi Tham Gia Các Hoạt Động Thể Thao, Đạp Xe, Leo Nú...",114000,114000,,64.0,0,0,19,4.5,,available,,1000,1000,,111461,OEM,2,Root
147931665,6979808358367,Áo Hoodie nam nữ - Áo khoác Hoodie nam nữ Trắng chống nắng Unisex form rộng CỪU HỒNG nỉ bông ấm áp,774,"       BẢNG SIZE   Sản phẩm này chỉ có một size duy nhất   TẤT CẢ CÁC MẪU BÊN SHOP GIỐNG HÌNH 95-100% VỀ MÀU VÀ MẪU IN. Mẫu unisex nam nữ đều mặc được - Hình in không phai, không ra mà...",88000,88000,,14.0,0,0,5,4.6,,available,,1000,1000,,111461,OEM,2,Root
117902589,1148248681299,"ÁO HOODIE NÓN NAM NỮ MÀU ĐEN VẢI NỈ POLY IN SÚNG NƯỚC Unisex hoodie,Áo Khoác Nỉ Hoodie In Datlity, Áo Khoác Nỉ Hoodie Unisex Nam Nữ Cao Cấp",889,"       - Dễ mặc, dễ phối đồ   - Chất vải dù gió ko thấm nước, nhẹ, rất tiện dụng cho các bạn khoác nhẹ, tránh gió, tránh mưa.   - Tư vấn bảng size quần áo theo cân nặng:   + Size M: từ 40kg - 5...",100000,100000,,62.0,0,0,19,4.7,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
72747421,3193210662216,"Áo hoodie, áo sweater trơn nam nữ",1166,"Áo hoodie, áo sweater trơn nam nữ được may bằng chất liệu cao cấp, mềm mịn thoáng mát co giãn và thấm hút mồ cực kì hiệu quả. Với đường may tỉ mỉ, tinh tế, màu sắc trang nhã cho người mặc phong cách ...",99000,99000,,51.0,0,0,24,4.5,,available,,1000,1000,,740219,Jinrinteen,2,Root
76246573,3063717208821,"Áo hoodie nam / áo hoodie nữ / áo khoác hoodie form rộng nam nữ mặc size M , L , XL  chất vải nỉ chống nắng chống lạnh tốt",1097,"Áo hoodie nam / áo hoodie nữ / áo khoác hoodie form rộng nam nữ mặc size M , L , XL chất vải nỉ chống nắng chống lạnh tốt :với chất liệu vải nỉ , dày mịn, ko bị xù vải mềm mịn , mặc dễ chịu và thoáng ...",98000,98000,,40.0,0,0,21,4.5,,available,,1000,1000,,111461,OEM,49512,Áo hoodies nam vải nỉ
137220799,3395373141683,ÁO KHOÁC NỈ HOODIE NAM NỮ FORM RỘNG PHỐI CHỮ ,809,"       MIÊU TẢ Chất liệu nỉ của áo giúp tăng khả năng giữ ấm, cách nhiệt cho cơ thể.   Có nhiều mẫu mã, kiểu dáng hơn so với những loại áo khác.   Khả năng co dãn tốt, giúp người mặc luôn cảm th...",100000,100000,,23.0,0,0,4,5.0,,available,,1000,1000,,111461,OEM,2,Root
112990508,2514045298221,ÁO KHOÁC HOODIE. ÁO KHOÁT HOOIDE STICK NAM NỮ,922,"       Áo Hoodie shop Mecuryss   * THÔNG TIN SẢN PHẨM:   ======================   - Chất liệu vải nỉ loại tốt cực mát.   - Màu sắc: ĐEN, TRẮNG, XANH NGỌC   - Nam Nữ Couple đều dùng được.   C...",101000,101000,,24.0,0,0,9,4.3,,available,,1000,1000,,740219,Jinrinteen,49512,Áo hoodies nam vải nỉ
144963606,8163187736016,"Áo Nỉ Hoodie Travis Scott, Hoodie Nam Nữ Form Rộng Unisex, chất nỉ bông - Beshine Store",783,"       Áo Hoodie Unisex Form Rộng   - Xuất xứ: Việt Nam   - Chất liệu: Nỉ bông   - Đường may tỉ mỉ, chắc chắn   - Công dụng: mặc ở nhà, mặc đi chơi hoặc khi vận động thể thao   - Thiết kế hiệ...",198000,198000,,26.0,0,0,7,4.3,,available,,1000,1000,,111461,OEM,2,Root
